Valuation,Industry,Country,Year Founded,Funding,ROI
180000,1,9,2012,8000,172000
100000,13,44,2002,7000,93000
100000,6,9,2008,2000,98000
95000,8,44,2010,2000,93000
46000,8,38,2005,4000,42000
40000,11,1,2012,572,39428
40000,8,43,2012,2000,38000
39000,14,44,2012,3000,36000
38000,3,44,2015,14000,24000
38000,5,44,2013,3000,35000
33000,8,43,2015,2000,31000
32000,13,44,1991,7000,25000
32000,8,3,2018,2000,30000
27000,6,44,2002,4000,23000
25000,8,44,2013,2000,23000
22000,7,19,2008,4000,18000
20000,14,20,2015,5000,15000
20000,6,9,2013,918,19082
18000,11,44,2011,476,17524
17000,7,9,2012,4000,13000
15000,8,43,2016,770,14230
15000,11,44,2012,979,14021
15000,3,9,2016,721,14279
15000,6,44,2013,3000,12000
14000,8,43,2011,490,13510
13000,8,44,2012,734,12266
13000,10,44,2017,2000,11000
13000,6,44,2017,427,12573
13000,11,44,2009,400,12600
12000,1,44,2016,4000,8000
12000,13,38,2016,4000,8000
12000,1,44,2017,1000,11000
12000,11,44,2013,1000,11000
12000,8,44,2017,1000,11000
12000,6,41,2015,2000,10000
12000,10,44,2008,799,11201
12000,9,9,2015,765,11235
12000,11,44,2003,800,11200
12000,6,9,2009,5000,7000
11000,2,9,2013,376,10624
11000,2,14,2013,1000,10000
11000,14,19,2014,5000,6000
11000,3,9,1999,558,10442
11000,9,43,1998,5000,6000
11000,8,44,2014,1000,10000
11000,5,17,2011,1000,10000
10000,7,9,2014,3000,7000
10000,8,44,2012,294,9706
10000,15,19,2012,3000,7000
10000,11,44,2001,572,9428
10000,11,44,2012,1000,9000
10000,8,44,2017,564,9436
10000,6,9,2015,4000,6000
10000,8,44,2015,1000,9000
10000,11,44,2012,333,9667
10000,8,44,2011,691,9309
10000,14,18,2013,2000,8000
10000,11,44,2016,343,9657
10000,11,44,2005,1000,9000
10000,11,44,2011,497,9503
10000,13,44,2018,2000,8000
9000,8,36,2012,71,8929
9000,15,36,2005,2000,7000
9000,1,44,2016,1000,8000
9000,2,44,2016,2000,7000
9000,4,44,2015,1000,8000
9000,6,28,2016,2000,7000
9000,8,17,2013,2000,7000
9000,11,44,2012,679,8321
9000,12,44,2015,770,8230
9000,4,44,2007,775,8225
8000,11,19,2007,2000,6000
8000,9,9,2006,105,7895
8000,4,44,2012,1000,7000
8000,8,19,2013,742,7258
8000,8,7,2018,607,7393
8000,4,44,2015,2000,6000
8000,8,44,2010,549,7451
8000,11,43,2019,1000,7000
8000,10,44,1996,1000,7000
8000,8,44,2019,660,7340
8000,10,44,2015,820,7180
8000,8,44,2018,1000,7000
8000,14,44,2013,2000,6000
7000,8,19,1998,297,6703
7000,12,9,2014,1000,6000
7000,3,44,2011,2000,5000
7000,8,19,2018,922,6078
7000,12,44,2016,863,6137
7000,2,19,2010,4000,3000
7000,11,44,2017,447,6553
7000,8,44,2012,1000,6000
7000,8,36,2013,844,6156
7000,6,9,2011,2000,5000
7000,1,44,2018,603,6397
7000,1,44,2015,583,6417
7000,15,44,2015,912,6088
7000,4,7,2005,920,6080
7000,1,44,2003,849,6151
7000,8,44,2015,424,6576
7000,8,44,2014,660,6340
7000,10,44,2017,1000,6000
6000,13,44,2020,645,5355
6000,3,9,1999,2000,4000
6000,10,9,2010,1000,5000
6000,2,9,2018,3000,3000
6000,8,1,2015,802,5198
6000,8,44,2018,629,5371
6000,8,29,2011,448,5552
6000,8,29,2004,928,5072
6000,10,16,2013,815,5185
6000,5,44,2012,728,5272
6000,11,44,2014,433,5567
6000,6,16,2014,1000,5000
6000,10,44,2017,891,5109
6000,1,44,2012,1000,5000
6000,11,17,2015,524,5476
6000,14,15,2005,803,5197
6000,11,44,1994,1000,5000
6000,11,44,2013,415,5585
6000,8,44,2016,587,5413
6000,6,9,2001,1000,5000
6000,10,44,2015,826,5174
6000,10,44,2015,910,5090
6000,11,44,2012,412,5588
6000,8,44,2018,405,5595
6000,8,44,2013,729,5271
6000,4,22,2020,600,5400
5000,11,19,2007,869,4131
5000,13,43,1994,187,4813
5000,11,19,2015,1000,4000
5000,9,9,2003,943,4057
5000,1,9,2015,514,4486
5000,9,9,2012,492,4508
5000,8,43,2015,1000,4000
5000,4,44,2012,644,4356
5000,7,9,2013,1000,4000
5000,6,25,2008,562,4438
5000,8,43,2014,286,4714
5000,9,9,2012,943,4057
5000,1,44,2017,691,4309
5000,11,44,2014,559,4441
5000,10,44,2013,497,4503
5000,11,44,2013,647,4353
5000,11,44,2013,567,4433
5000,8,13,2015,428,4572
5000,8,17,2015,996,4004
5000,9,9,2008,1000,4000
5000,5,4,2008,596,4404
5000,14,10,2015,2000,3000
5000,1,44,2013,426,4574
5000,10,44,2020,462,4538
5000,8,6,2012,824,4176
5000,11,44,2016,926,4074
5000,6,6,2012,755,4245
5000,8,6,2018,2000,3000
5000,5,44,2015,633,4367
5000,15,7,2007,599,4401
5000,1,44,2009,371,4629
5000,12,22,2011,425,4575
5000,6,19,2015,734,4266
5000,2,19,2019,761,4239
5000,8,19,1998,903,4097
5000,8,16,2016,704,4296
5000,5,44,2017,1000,4000
5000,10,9,2011,503,4497
5000,2,9,2015,4000,1000
5000,8,43,2010,655,4345
4000,10,9,2019,1000,3000
4000,8,43,2011,2000,2000
4000,12,34,2015,263,3737
4000,10,44,2012,1000,3000
4000,12,36,2012,216,3784
4000,11,44,2018,128,3872
4000,6,19,2008,776,3224
4000,8,44,2011,119,3881
4000,1,9,2015,2000,2000
4000,8,44,2019,555,3445
4000,8,44,2017,864,3136
4000,8,44,2011,468,3532
4000,4,44,2017,505,3495
4000,11,44,2017,542,3458
4000,9,44,2017,381,3619
4000,11,44,2014,434,3566
4000,11,44,2013,643,3357
4000,1,44,2014,1000,3000
4000,6,16,2011,948,3052
4000,11,44,2016,294,3706
4000,11,44,2016,435,3565
4000,10,17,1919,0,4000
4000,11,44,2011,489,3511
4000,2,9,2017,1000,3000
4000,5,44,2017,352,3648
4000,7,44,2006,477,3523
4000,11,44,2001,125,3875
4000,6,44,2012,404,3596
4000,4,44,2012,498,3502
